relation,count,distinct_heads,distinct_tails,distinct_pairs,specificity
áp dụng theo,27,22,25,26,1.04
diễn ra ở,27,24,14,26,1.04
được nộp tại,27,21,19,26,1.04
được đăng trong,27,24,22,27,1.0
có phần,27,17,24,26,1.04
được hỗ trợ,27,25,25,27,1.0
là mã học phần,27,25,24,25,1.08
kèm,27,23,27,27,1.0
báo cáo,27,20,26,26,1.04
có chương trình,27,20,25,27,1.0
được tổ chức vào,27,24,27,27,1.0
có kích thước,27,9,8,14,1.93
hoàn thành,26,21,26,26,1.0
rèn luyện,26,21,22,26,1.0
diễn ra theo,26,23,25,26,1.0
là đối tượng,26,23,21,26,1.0
có số lượt xem,26,11,26,26,1.0
tích hợp,26,21,25,26,1.0
chuyên về,26,18,26,26,1.0
xác nhận,26,21,23,26,1.0
ghi thông tin,26,3,21,25,1.04
thuộc học kỳ,26,21,15,24,1.08
diễn ra cùng,26,22,24,26,1.0
có hướng đi,25,3,5,8,3.12
tốt nghiệp ngành,25,7,24,25,1.0
bảo vệ,25,23,17,25,1.0
có thành tích,25,15,18,25,1.0
có địa điểm,25,17,18,19,1.32
được quy định trong,25,21,18,25,1.0
thông báo tới,25,8,16,20,1.25
xét theo,25,16,25,25,1.0
hợp tác,25,16,24,24,1.04
là thành viên của,25,22,15,23,1.09
trang bị,25,17,23,24,1.04
có thông tin,25,17,23,25,1.0
đóng vai trò,25,20,17,22,1.14
đạt từ,25,19,21,24,1.04
đồng tác giả với,25,13,23,24,1.04
diễn ra lúc,25,22,21,24,1.04
có thông báo,24,13,19,20,1.2
kỷ niệm,24,16,20,22,1.09
có vị trí,24,17,24,24,1.0
có sự tham dự,24,10,21,24,1.0
vượt qua,24,23,21,24,1.0
theo quy định,24,24,18,24,1.0
thuộc năm,24,23,11,23,1.04
có chuyên mục,24,18,16,24,1.0
trải qua,24,21,24,24,1.0
được công nhận,24,23,18,24,1.0
dùng,24,19,22,24,1.0
có thể làm việc tại,24,10,20,24,1.0
xem xét,24,18,23,23,1.04
tham gia vào,24,20,21,24,1.0
có số,24,18,24,24,1.0
nhận học bổng,24,21,15,24,1.0
được hoàn trả,24,7,7,12,2.0
bị hủy,24,19,18,19,1.26
là tác giả,23,6,18,18,1.28
bắt đầu,23,23,20,23,1.0
ban hành bởi,23,22,16,22,1.05
đẩy mạnh,23,15,23,23,1.0
được thực hiện cho,23,16,18,22,1.05
được công bố trong,23,23,23,23,1.0
bảo trợ,23,3,6,6,3.83
có học vị,23,15,6,17,1.35
hình thành,23,17,22,23,1.0
là ngày,23,23,21,23,1.0
được giới thiệu trong,23,23,18,23,1.0
thực hiện trong,23,23,20,23,1.0
hy vọng,23,16,20,21,1.1
trị giá,23,21,21,21,1.1
kết thúc,23,21,18,22,1.05
là môn,23,23,23,23,1.0
thuộc chương trình,23,20,21,23,1.0
thuộc mã học phần,23,23,22,23,1.0
được thể hiện qua,23,20,21,23,1.0
được gắn mã,23,10,23,23,1.0
tổng hợp,23,18,22,22,1.05
lĩnh vực,23,10,12,15,1.53
học phần,23,23,18,23,1.0
được mô tả như,23,22,20,22,1.05
tính đến,23,22,21,23,1.0
xuất bản,23,15,21,21,1.1
viết,23,9,18,20,1.15
mời,23,17,17,22,1.05
tạo,22,22,22,22,1.0
lần thứ,22,15,14,17,1.29
được phát triển bởi,22,16,21,22,1.0
thuộc chủ đề,22,17,16,20,1.1
cử,22,12,21,22,1.0
được viết bởi,22,12,5,14,1.57
đóng góp vào,22,16,21,22,1.0
mã số,22,22,19,22,1.0
được quy định theo,22,21,14,21,1.05
gửi về,22,20,17,22,1.0
thống kê,22,9,17,21,1.05
được thông báo,22,21,20,22,1.0
có trong,22,21,16,22,1.0
cảm thấy,22,13,19,22,1.0
đồng hành,22,18,20,22,1.0
tác giả của,22,17,20,22,1.0
có tín chỉ,22,22,17,22,1.0
phải nộp,22,18,19,22,1.0
ký kết hợp tác với,22,13,19,22,1.0
tác giả,22,14,18,20,1.1
được tài trợ bởi,22,22,16,22,1.0
ghi,22,6,20,22,1.0
phỏng vấn,22,11,20,22,1.0
được triển khai tại,22,15,17,22,1.0
giảng dạy bởi,22,17,16,18,1.22
đăng cai,21,11,18,21,1.0
có thời gian,21,20,21,21,1.0
trao đổi,21,18,19,21,1.0
tiếp cận,21,19,19,21,1.0
mã định danh,21,21,21,21,1.0
được cấp bởi,21,19,20,21,1.0
đảm nhận,21,7,20,21,1.0
được liên kết với,21,16,20,21,1.0
đề cập trong,21,19,16,21,1.0
đính kèm,21,19,17,21,1.0
được gọi là,21,21,21,21,1.0
giúp sinh viên,21,14,19,21,1.0
đảm nhiệm,21,14,20,20,1.05
chịu trách nhiệm về,21,8,21,21,1.0
đến ngày,21,21,21,21,1.0
and,21,21,21,21,1.0
được bảo trợ bởi,20,3,2,3,6.67
có tham dự,20,7,18,20,1.0
áp dụng cho năm học,20,16,8,18,1.11
nhiệm kỳ,20,18,17,19,1.05
nghiên cứu về,20,14,20,20,1.0
đầu tư,20,8,18,18,1.11
là ngành,20,11,13,17,1.18
giám sát,20,15,17,20,1.0
có môn,20,6,20,20,1.0
tuân theo,20,16,16,19,1.05
được tính theo,20,20,17,20,1.0
được học tại,20,19,14,20,1.0
mở ra,20,17,14,19,1.05
được gửi tới,20,19,17,20,1.0
ký,20,15,14,20,1.0
cấp bằng,20,19,8,20,1.0
từ ngày,20,19,20,20,1.0
được gửi bởi,20,19,13,19,1.05
sĩ số,20,13,7,15,1.33
bởi,19,13,7,16,1.19
được đại diện bởi,19,17,18,19,1.0
cam kết,19,11,18,19,1.0
không có,19,14,13,19,1.0
cần tuyển,19,12,13,18,1.06
được áp dụng,19,18,17,19,1.0
giải đáp,19,17,12,19,1.0
có nguyện vọng,19,11,14,16,1.19
làm căn cứ cho,19,19,17,19,1.0
được gọi tắt là,19,19,17,19,1.0
tiên phong,19,5,19,19,1.0
được quan tâm bởi,19,13,17,19,1.0
xuất phát từ,19,16,18,19,1.0
trải nghiệm,19,16,17,19,1.0
có thế mạnh về,19,5,18,19,1.0
có đối tác,19,4,15,19,1.0
có điện thoại,19,9,11,15,1.27
có liên quan,19,11,19,19,1.0
được vận dụng vào,19,9,6,12,1.58
được vận dụng trong,19,15,12,19,1.0
theo quy định của,19,17,13,18,1.06
chọn,19,13,17,18,1.06
có thành viên,19,11,19,19,1.0
được nhận bởi,19,15,18,19,1.0
học ngành,19,17,8,18,1.06
được đăng,19,15,18,19,1.0
diễn ra vào năm,19,12,6,12,1.58
giành giải,19,11,6,19,1.0
tìm kiếm,19,14,18,19,1.0
tạo cơ hội cho,19,18,14,18,1.06
quan tâm,19,17,15,18,1.06
công tác tại,19,19,15,19,1.0
thiết kế,19,16,17,19,1.0
duy trì,19,13,19,19,1.0
làm,19,15,19,19,1.0
có Ủy viên,19,2,19,19,1.0
được nhắc tới trong,18,17,15,18,1.0
ưu tiên,18,14,16,18,1.0
chế tạo,18,17,16,18,1.0
được thành lập vào,18,18,16,18,1.0
đi kèm với,18,18,18,18,1.0
vào ngày,18,15,16,18,1.0
có hình thức,18,16,18,18,1.0
đi tới,18,18,16,18,1.0
giữ chức,18,17,15,18,1.0
được xem,18,13,18,18,1.0
được xác nhận bởi,18,17,11,18,1.0
là giảng viên,18,16,13,17,1.06
sau,18,15,17,17,1.06
là căn cứ,18,18,16,18,1.0
được nhắc đến,18,17,17,18,1.0
thiếu,18,15,18,18,1.0
được quy định bởi,18,14,11,14,1.29
có mục tiêu,18,16,18,18,1.0
triển khai tại,18,9,15,18,1.0
không quá,18,14,11,15,1.2
được đánh giá là,18,15,18,18,1.0
được đánh giá theo,18,12,16,17,1.06
được mô tả bằng,18,18,18,18,1.0
được tính vào,18,11,10,16,1.12
phụ thuộc,18,17,17,18,1.0
được đánh giá bởi,18,18,16,18,1.0
liệt kê,18,12,18,18,1.0
được thực hiện bằng,18,14,17,17,1.06
có tên trong,18,11,16,18,1.0
được tham gia,18,9,17,18,1.0
áp dụng đối với,18,8,17,18,1.0
tạo điều kiện,18,16,18,18,1.0
không giải quyết,18,4,14,15,1.2
phát hành,18,12,18,18,1.0
có chức năng,18,11,17,18,1.0
cung cấp điện thoại,18,3,8,8,2.25
giảng viên điều chỉnh,18,11,12,18,1.0
được làm bằng,17,7,4,9,1.89
được cung cấp,17,16,16,17,1.0
có thành phần,17,10,15,17,1.0
giảng dạy tại,17,16,15,17,1.0
triệu tập,17,10,13,15,1.13
đề ra,17,14,16,17,1.0
được liệt kê cùng,17,15,12,17,1.0
được gửi,17,14,12,16,1.06
gắn liền với,17,12,13,17,1.0
dự kiến,17,15,16,16,1.06
bầu,17,7,11,16,1.06
được đưa vào,17,16,14,17,1.0
chứng minh,17,10,15,17,1.0
đồng hành cùng,17,16,13,17,1.0
dạy,17,12,13,15,1.13
tên học phần,17,16,15,16,1.06
mở rộng,17,14,16,16,1.06
được tặng,17,17,13,17,1.0
mã môn,17,16,16,17,1.0
được xếp trong,17,16,13,17,1.0
do ban hành bởi,17,15,9,17,1.0
xét công nhận,17,3,11,14,1.21
đạt thành tích,17,12,10,17,1.0
thực hiện tại,17,16,17,17,1.0
được công bố trên,17,11,17,17,1.0
có thể,17,13,17,17,1.0
đến hết,17,15,15,17,1.0
chúc mừng,17,15,16,17,1.0
tham quan,17,16,14,17,1.0
được dạy tại,17,10,14,17,1.0
duyệt,17,11,9,16,1.06
được học,17,7,17,17,1.0
chuyên phát triển,17,4,5,11,1.55
mục tiêu đào tạo,17,17,3,17,1.0
thông báo kết quả,16,8,15,15,1.07
được xếp hạng trong,16,11,12,15,1.07
đào tạo chuyên ngành,16,3,11,16,1.0
giữ chức danh,16,16,4,16,1.0
bảo đảm,16,8,11,16,1.0
cùng với,16,16,16,16,1.0
đón tiếp,16,10,15,16,1.0
đặt mục tiêu,16,11,15,15,1.07
kết thúc vào,16,15,16,16,1.0
có thể có,16,13,14,16,1.0
đánh dấu,16,15,16,16,1.0
thực tập tại,16,12,13,16,1.0
được cập nhật,16,13,14,16,1.0
là người,16,12,14,15,1.07
chú trọng,16,9,16,16,1.0
góp phần,16,10,14,14,1.14
giao nhiệm vụ,16,10,16,16,1.0
được phát triển,16,15,15,16,1.0
góp phần vào,16,12,15,15,1.07
có giảng viên,16,14,14,16,1.0
bày tỏ,16,15,13,16,1.0
làm việc trong,16,10,14,16,1.0
được vận dụng,16,16,12,16,1.0
không tính vào,16,7,3,16,1.0
được viết tắt là,16,16,15,16,1.0
được liệt kê như,16,16,15,16,1.0
có mức,16,15,16,16,1.0
là địa điểm của,16,10,14,14,1.14
diễn ra sau,16,16,16,16,1.0
hệ,16,5,4,6,2.67
có phương thức,16,7,9,14,1.14
được vận động,16,6,8,14,1.14
trao tặng,16,15,15,15,1.07
thuộc các ngành,16,4,16,16,1.0
được trình bày tại,16,13,15,16,1.0
được triển khai trong,16,12,16,16,1.0
số lượng,16,16,13,16,1.0
phân công,16,12,12,15,1.07
có lĩnh vực,16,7,16,16,1.0
chỉ tiêu,16,15,9,15,1.07
cung cấp thông tin,16,9,16,16,1.0
có đối tượng,16,8,7,16,1.0
đánh giá theo,16,7,16,16,1.0
từng là,16,11,14,15,1.07
đăng ký tham gia,16,10,12,14,1.14
đặt,16,6,13,16,1.0
bám sát,15,8,10,14,1.07
được tổ chức theo,15,14,15,15,1.0
nhằm thúc đẩy,15,12,15,15,1.0
bồi dưỡng,15,10,13,15,1.0
tổng kết,15,14,12,15,1.0
được giới thiệu,15,15,14,15,1.0
liên hệ với,15,12,13,14,1.07
nhằm tăng cường,15,12,15,15,1.0
trao đổi về,15,10,15,15,1.0
được trình bày bởi,15,12,14,15,1.0
cung cấp thông tin về,15,6,15,15,1.0
ra mắt,15,11,13,13,1.15
phát hiện,15,15,14,15,1.0
có danh sách,15,12,12,14,1.07
góp phần phát triển,15,10,14,15,1.0
theo dõi,15,13,14,15,1.0
xem,15,9,14,15,1.0
có trình độ,15,10,9,11,1.36
bao gồm nội dung,15,7,15,15,1.0
được viết tắt,15,12,13,13,1.15
được trao tại,15,13,14,15,1.0
có tên môn,15,9,15,15,1.0
có thời điểm,15,12,15,15,1.0
số tín chỉ,15,15,12,15,1.0
áp dụng vào,15,12,15,15,1.0
có tiêu đề,15,14,15,15,1.0
phải đáp ứng,15,14,14,15,1.0
diễn ra trước,15,15,15,15,1.0
đôn đốc,15,11,11,13,1.15
tính từ,15,15,12,15,1.0
cảm ơn,15,10,14,15,1.0
có trách nhiệm,15,9,14,15,1.0
được công bố tại,15,13,15,15,1.0
được sử dụng bởi,15,8,13,13,1.15
